	-5P	-5G	-5A	-5C	-5S	-5T	-5V	-5I	-5L	-5M	-5F	-5Y	-5W	-5H	-5K	-5R	-5Q	-5N	-5D	-5E	-5s	-5t	-5y	-4P	-4G	-4A	-4C	-4S	-4T	-4V	-4I	-4L	-4M	-4F	-4Y	-4W	-4H	-4K	-4R	-4Q	-4N	-4D	-4E	-4s	-4t	-4y	-3P	-3G	-3A	-3C	-3S	-3T	-3V	-3I	-3L	-3M	-3F	-3Y	-3W	-3H	-3K	-3R	-3Q	-3N	-3D	-3E	-3s	-3t	-3y	-2P	-2G	-2A	-2C	-2S	-2T	-2V	-2I	-2L	-2M	-2F	-2Y	-2W	-2H	-2K	-2R	-2Q	-2N	-2D	-2E	-2s	-2t	-2y	-1P	-1G	-1A	-1C	-1S	-1T	-1V	-1I	-1L	-1M	-1F	-1Y	-1W	-1H	-1K	-1R	-1Q	-1N	-1D	-1E	-1s	-1t	-1y	1P	1G	1A	1C	1S	1T	1V	1I	1L	1M	1F	1Y	1W	1H	1K	1R	1Q	1N	1D	1E	1s	1t	1y	2P	2G	2A	2C	2S	2T	2V	2I	2L	2M	2F	2Y	2W	2H	2K	2R	2Q	2N	2D	2E	2s	2t	2y	3P	3G	3A	3C	3S	3T	3V	3I	3L	3M	3F	3Y	3W	3H	3K	3R	3Q	3N	3D	3E	3s	3t	3y	4P	4G	4A	4C	4S	4T	4V	4I	4L	4M	4F	4Y	4W	4H	4K	4R	4Q	4N	4D	4E	4s	4t	4y
CDK3	711319.07	667476.18	624754.14	696218.26	894630.5	787605.4	471120.03	357625.01	325237.42	394489.29	451835.66	482731.13	587403.57	636894.8	884192.7	813722.79	584944.35	650279.79	613349.15	538192.37	659704.08	659704.08	586888.48	589205.14	669530.06	610808.81	621944.43	910789.59	921455.51	371289.71	322240.38	428794.09	509840.12	399351.35	506207.97	580596.15	619919.12	789043.74	736555.19	544546.29	601153.17	628564.85	592850.06	506956.13	506956.13	372386.9	870680.3	872960.55	592509.51	660751.14	739662.41	719182.04	383964.61	362759.51	444628.66	552942.41	398731.28	536416.1	488698.26	688370.78	604604.25	715740.58	591588.0	656718.52	417991.47	454390.87	492972.31	492972.31	463424.67	1122694.67	549893.06	623734.41	835718.4	991528.17	974446.08	412336.27	356880.13	471305.22	539438.12	369477.4	450155.52	498524.98	615061.73	484977.47	638570.11	503878.31	593357.42	335288.93	336956.04	315120.1	315120.1	322986.75	1165747.25	1185019.54	662934.01	674196.44	943627.32	725982.93	323311.18	208908.51	419518.19	690145.04	385644.96	637922.28	556071.97	656620.03	953012.22	1093897.85	778999.41	711110.37	414112.08	392306.86	211625.51	211625.51	257398.95	7447049.74	682246.65	144016.13	191655.39	1150600.43	786674.06	116200.97	85738.04	99551.51	102086.57	73458.49	80975.52	103814.5	123348.28	171647.24	154803.89	160952.53	131507.56	72293.41	66215.09	269881.21	269881.21	345586.86	231114.41	335983.93	535863.4	610164.39	711723.42	577471.66	391995.3	373247.42	481954.27	594917.24	354195.2	522204.71	434442.87	884830.91	1744810.86	1534047.14	898123.11	694915.35	272730.2	325290.84	313138.24	313138.24	238429.8	254621.78	234337.38	187766.61	207663.07	845051.74	436528.96	130718.6	124775.2	139726.67	149470.18	128114.52	138053.46	196591.84	1795748.99	8769663.3	1400933.0	238959.57	223163.54	106940.74	95585.41	412874.87	412874.87	379772.59	612016.24	735241.6	569562.15	677261.99	729825.18	657150.51	466169.7	514074.64	605254.08	699261.49	554867.26	564789.94	821636.77	891688.97	1659742.74	917903.97	812163.43	824841.3	562149.65	473731.54	316325.25	316325.25	260453.18
CDK4	18966216.44	21277445.75	16920115.47	17109552.5	23928996.13	23286188.81	11266017.62	15193634.4	12464442.07	13477500.56	13211496.99	19068484.31	12964612.35	19221123.47	23259683.59	26476479.44	13618181.63	17940589.77	13250178.99	13191478.47	12756080.36	12756080.36	15481834.1	18435199.62	20155014.51	17181223.68	18030138.72	28952901.72	25811721.11	11257652.25	14319647.21	13813483.22	14130529.36	14568399.66	19292436.73	21811551.96	18615652.73	21098111.77	26010947.49	14229058.16	19868217.27	11408794.16	14422665.83	11005092.29	11005092.29	9307044.28	16317762.74	19947627.52	14836033.49	16513116.09	23431853.91	23792157.57	12690565.6	13062736.49	12467264.79	11368274.69	10575388.5	13663392.75	12417457.9	16129701.5	17338877.74	35608594.07	10051111.26	12212797.47	5524310.15	8412924.21	8446513.21	8446513.21	8449389.89	32935863.53	7796159.93	11112879.07	19298593.39	19084495.39	24195626.76	11655369.61	13225819.33	18434694.49	16694539.47	13833473.32	13673909.05	11511098.82	13614885.49	10437899.55	18137120.7	9935715.32	12394094.21	2973963.47	3903004.98	4988497.66	4988497.66	4656462.24	12553937.16	13816903.83	11974786.42	11470848.16	13742610.55	16187401.68	8341399.95	7094699.44	17135776.72	19563702.83	12823168.33	15083656.73	13307127.74	13679259.99	17205889.7	25428997.28	17005799.03	9770939.15	5629244.89	6728168.37	3161177.34	3161177.34	4773815.66	159582306.29	9606525.18	3140231.72	4498686.55	14516465.5	16845306.91	3886908.79	3580913.72	4692537.06	3441294.8	3058470.61	2865693.41	3082497.67	3422209.02	3733063.81	4173237.16	3544630.11	3319357.29	2229995.29	1711222.32	4165417.55	4165417.55	6205874.25	5959137.73	10902835.87	8452161.81	14079770.89	14299200.63	17435760.75	12539128.11	14325438.48	11984736.17	12779061.85	9122333.29	14346213.2	7727215.57	16358158.61	19185600.82	32089938.28	9771685.48	15743048.83	5155478.87	4178086.74	5024221.27	5024221.27	4837607.13	16380896.47	14594159.67	12251273.38	12734796.48	15666066.81	12002600.15	7426694.45	7626982.79	7327146.61	10069369.49	13846381.94	18968462.19	27456185.74	18759528.2	33089560.29	79690313.42	11603741.23	13143751.05	5956176.5	4379859.85	6434115.29	6434115.29	8954668.15	12386441.14	16180501.35	11196240.09	13715045.12	9658994.84	9691985.9	9297279.1	12496620.9	8580158.64	13279067.35	12436037.67	19849535.62	20803550.92	20178140.47	17500799.53	32127221.15	11702574.86	14265274.28	8473895.87	7680824.85	6174431.71	6174431.71	6311596.9
CDK5	62559884.12	63171137.94	61981293.72	59672177.3	77957250.14	85993388.73	44579159.5	47341807.12	43746463.77	46299990.12	53841981.6	68769888.35	51459831.17	62533897.85	72433729.72	74041744.75	58257653.62	56574480.69	50195181.43	47741972.04	53052144.43	53052144.43	56461971.75	53494039.98	60558459.26	63610024.52	58110431.67	97087329.94	94156158.78	44443033.76	46547999.63	49521942.75	53128679.55	50463088.67	54017814.34	62384848.64	61013679.47	66758269.61	72430158.02	56166840.95	56758803.69	50678697.55	49946311.31	46836562.88	46836562.88	34734083.14	65015592.56	65216581.13	60706421.5	64806595.99	75229541.39	73585763.49	54414394.69	54692306.34	55128478.51	55236565.44	45477206.27	49332112.36	47361226.48	59418040.68	48111861.47	61002840.67	50543279.16	52470923.29	35347378.86	45621944.58	43696245.51	43696245.51	45851529.23	88154016.83	43158238.14	46227806.42	66682851.55	81012345.25	93253589.71	45847776.09	43939642.35	61362893.22	58274101.59	51336802.46	49476486.12	48314308.05	63578398.5	42693444.49	54602463.05	51276406.8	48443233.85	27198084.4	31473479.79	31834803.78	31834803.78	37761989.63	73744507.38	89668224.18	57749269.85	59741198.21	82160347.72	81863329.48	41729250.93	29996502.33	52274289.28	66668972.55	45871548.17	58466091.95	48178838.13	58203858.69	70494888.09	89277431.99	58419215.81	53033619.73	35908318.24	36953239.0	18954104.19	18954104.19	25916547.38	535134151.17	58970026.84	15057774.19	28097647.58	68784453.71	71118619.46	16110171.45	11381422.8	14221453.41	16282574.51	11091322.95	10123010.51	12774214.14	12216430.12	14523835.35	13777123.37	14050309.71	14297689.83	5379030.43	6331475.67	15464923.68	15464923.68	22897173.19	55599909.31	43178923.54	54055907.57	52511550.56	75152158.03	73316773.22	50661400.02	50412712.94	50734804.1	51890990.49	51896650.68	59567531.01	48871055.8	75784894.72	140689980.49	126600759.93	53776327.29	41535953.56	11913654.2	27403116.44	17687257.38	17687257.38	26627756.13	24765233.14	30573386.07	47694642.27	37052265.05	54980697.5	39397945.66	28503328.39	36214147.55	41760007.48	40657778.15	41553487.23	36660190.69	40454855.85	216016521.78	224690570.58	231894311.88	36940373.58	61531651.8	7872779.84	5737820.25	21805055.74	21805055.74	25990899.18	43043316.3	67867235.77	52120026.72	55969503.95	54840338.79	53657200.53	57868818.73	60928144.25	51458793.29	64100174.57	47596276.0	48615102.74	65707310.72	81676885.69	116812336.92	107573735.74	63354833.28	54132408.9	22862386.58	27415344.38	19976067.26	19976067.26	20766008.5
CDK6	18092241.04	17983141.88	15220138.75	14474988.49	22076331.09	21255360.51	9942081.87	9779040.36	11301868.92	10760460.44	14302815.89	15531529.59	10540744.87	17211271.92	22984787.16	19124479.36	14461540.75	15258921.1	12660925.86	13290137.72	13643640.54	13643640.54	19619424.88	14643291.73	14283260.23	13961826.82	13289590.37	22090760.1	20517590.63	9241923.96	10398044.92	11675816.26	11915912.52	11702388.44	14389234.02	17122585.09	15286002.51	18549350.38	15777334.67	14362301.32	16307545.14	12150513.38	11796351.18	12121994.83	12121994.83	15322040.72	13823202.69	17036690.59	14483175.22	15416017.88	20579217.62	21971616.12	10620875.42	11167388.33	12981790.5	12302182.87	11716248.58	12170495.49	11024875.1	14340051.6	12286877.77	15891865.95	10364734.59	9912457.74	5711166.38	7904726.91	8693701.1	8693701.1	9706663.04	24950362.38	8282697.28	10145996.89	16768930.27	19419113.83	23868005.5	9470891.63	9960763.03	14583106.1	17054757.79	12465465.19	13510355.18	12040496.96	13181940.13	8938328.62	10992317.67	10136462.83	8884041.78	3578081.59	4603781.82	6213298.71	6213298.71	9047719.32	16091058.35	16482847.33	10577671.17	9492893.96	15974542.71	14755453.16	8185618.44	6304349.7	14614684.13	16324069.24	11614149.73	15692818.87	13814673.35	14180016.75	15744982.13	22738825.54	13292643.89	9537788.24	6144543.06	6046986.74	3197495.32	3197495.32	4142875.11	136735735.67	16350928.8	2935454.06	4173383.3	11291049.39	14130349.04	3717761.41	3630585.59	4062904.53	3864256.66	4168404.78	2834958.51	3363658.95	3486111.6	3575972.28	3662707.29	3046453.05	2493434.89	1336258.94	1297077.85	3840559.95	3840559.95	3993792.69	6157711.54	9105695.45	8218369.91	11498448.26	17771936.04	19270959.94	11914391.42	13016448.05	13715068.88	12608698.98	10111731.11	11051238.23	8283747.5	15443399.1	22781474.04	40991849.48	11279439.54	11026676.27	3221890.93	2969962.36	6255005.02	6255005.02	4490838.81	13783192.18	10884631.62	9492362.25	8750790.31	14086841.66	11792840.43	8204519.84	7371728.04	7321437.0	9288816.73	8461816.68	11002001.63	9269771.13	17026633.61	50544945.24	79945435.73	11228755.59	11943111.5	3348428.58	2776314.62	6928775.93	6928775.93	7777338.24	15567681.96	17814247.71	10940007.6	12693267.02	11805054.68	11743509.78	11172405.74	11511485.18	12125691.7	13757260.81	12277472.4	12791916.64	17494581.09	18924704.35	25316395.19	37714456.11	15974768.54	14780930.99	7778324.81	6549818.42	5182863.46	5182863.46	5394382.97
CDK7	14569785.7	15350523.02	15267980.55	17589956.85	16580172.85	13743973.66	9485404.72	9954501.89	11802324.12	12016124.6	13875368.86	15597370.08	20417535.67	18544263.81	17840185.08	16689982.8	11557437.85	13491725.23	8996569.43	7090078.99	8366744.18	8366744.18	7137199.97	18530934.53	16802847.16	14186297.41	16860815.28	26227668.93	16284703.39	9213739.41	9931261.31	10950555.81	13183387.3	10985129.13	14847905.49	15730595.14	15665639.52	16835892.92	17771797.56	13867817.35	15071327.21	8394783.19	7918016.15	9421215.8	9421215.8	8514724.08	24715713.76	17781788.27	13038356.56	13284396.09	36621501.28	20766632.38	10391617.06	7981839.44	7508029.93	9790109.87	8340396.35	10179073.0	9553457.08	11548859.41	15559041.76	23025558.82	13063741.77	11708449.51	8277417.09	7379323.82	8797458.62	8797458.62	7009216.61	36399684.01	9996275.05	11800353.77	14653141.05	28406000.87	16669461.04	13438040.86	13250629.43	12197323.07	10135670.13	5017818.06	6263413.8	6621872.93	6070297.04	8312420.89	11847998.8	8089307.0	8474819.95	3988597.36	4223029.08	6687253.14	6687253.14	3835176.34	14118476.61	13761026.85	8788531.97	10421712.52	15065249.73	13936874.1	8540916.75	5307748.17	14302942.64	15058680.47	13462778.61	17716527.99	41937857.61	12407045.54	17492511.78	21535005.71	12661745.37	8292177.24	5050598.44	3801125.35	4853790.79	4853790.79	6540164.02	171678983.56	15185003.16	5710010.11	8692944.41	14617860.92	8210726.81	6447630.53	5246290.78	5106153.75	5155651.09	4195297.54	4387228.44	4710917.99	4910517.51	4455846.45	4544729.5	5478118.53	6953343.33	4695969.6	4247051.87	7263652.57	7263652.57	5519790.18	18963071.86	16183397.74	14462761.47	13127729.04	23462849.14	13927905.37	10850543.6	9767079.43	9333711.17	10502097.68	8544058.79	11844746.53	9677644.76	12760534.53	13576702.55	16354012.25	12507293.3	13570683.65	9004278.48	7102530.64	6820423.29	6820423.29	7033280.84	16238914.0	12644428.65	13487525.9	13298628.8	28220847.76	12513302.39	12628465.21	10388998.7	12810141.54	12406701.27	12830446.54	24821704.2	16033184.81	12349455.33	10999327.39	7585287.53	10110398.47	10048785.86	6108351.21	5270154.32	6969716.98	6969716.98	7799285.63	14843224.89	15352341.22	12347305.06	13399366.19	13445046.53	10684914.03	11039768.82	12017701.07	11722031.95	13062062.26	12608915.47	18597717.81	18516643.67	15630994.83	10240102.43	9140576.07	13462027.36	11779625.69	7014193.06	6368913.67	6319371.0	6319371.0	8966735.67
CDK8	72221781.0	71141577.0	69320708.0	95542883.0	87819277.0	76354199.0	65558999.0	69650253.0	73396582.0	62894592.0	107494944.0	133186139.0	70249102.0	81289732.0	60239431.0	69122181.0	73948373.0	71515691.0	112994581.0	106090929.0	72417046.0	72417046.0	89764481.0	66088337.0	66673397.0	68720596.0	78108999.0	128730035.0	78613348.0	60637126.0	67583969.0	65174114.0	75169227.0	78511627.0	86868304.0	86757785.0	77311229.0	60324773.0	59345204.0	67420799.0	59913640.0	84368061.0	86879910.0	79312478.0	79312478.0	80786929.0	87800033.0	91824147.0	77081508.0	75657735.0	179655858.0	71113314.0	49668419.0	48674561.0	48627155.0	105193151.0	74178513.0	77708403.0	93534098.0	67364174.0	42099654.0	44891681.0	82187607.0	89230971.0	63105460.0	66495995.0	52670472.0	52670472.0	52992918.0	226300152.0	41617176.0	81097822.0	79336763.0	109811197.0	75640963.0	64427490.0	51816920.0	45889724.0	51523662.0	21102232.0	22857182.0	24770216.0	31511426.0	15124763.0	20248647.0	42938340.0	34157145.0	28398879.0	29508098.0	32733396.0	32733396.0	30081080.0	98952609.0	105998300.0	73883951.0	52618802.0	75302709.0	47564886.0	40305320.0	20631571.0	74677944.0	103957583.0	74014377.0	77053368.0	86021344.0	70851838.0	74517258.0	92299152.0	73701420.0	62442713.0	57062969.0	40148453.0	22492659.0	22492659.0	54715703.0	655664613.0	48603235.0	17273817.0	22947699.0	73640886.0	36922329.0	60197834.0	27850913.0	17508367.0	21678014.0	15676892.0	14510466.0	18454929.0	24568803.0	14396938.0	13934932.0	22244112.0	30726618.0	10803237.0	9619134.0	25456262.0	25456262.0	25874897.0	57234135.0	93693890.0	89842273.0	70329129.0	144894765.0	77153748.0	57624481.0	63607551.0	72792124.0	80163071.0	59972821.0	69675988.0	72741504.0	73590675.0	79398992.0	90151085.0	80912624.0	64214379.0	56350274.0	52027749.0	33807535.0	33807535.0	66691394.0	140507014.0	107932981.0	77436688.0	78777944.0	218275652.0	114654874.0	71802754.0	54030182.0	50987708.0	74878058.0	53940581.0	69241148.0	58907264.0	82440201.0	47698003.0	64538343.0	75925564.0	102430071.0	61753006.0	54551229.0	50984384.0	50984384.0	65101526.0	90712951.0	95582786.0	84168910.0	89714255.0	92488926.0	74807578.0	90484743.0	86651419.0	78946260.0	79466771.0	74272548.0	76991410.0	114774964.0	88020917.0	58059111.0	70408284.0	81297120.0	71727354.0	99088528.0	73353457.0	73381122.0	73381122.0	70802908.0
CDK9	58079354.9	57974625.25	64557014.64	71693124.89	157479746.18	113351365.49	51036725.44	49117922.55	46940648.8	48835885.38	71257919.81	76373802.04	83312120.67	72744123.04	62093700.97	70546447.0	47658768.9	50140854.78	32730092.27	29439993.71	41115365.3	41115365.3	40839545.96	57045579.6	61329087.38	63736792.14	61661617.56	139478878.22	96300061.8	45842644.83	46552425.82	48990426.82	51970747.16	60653620.76	64013972.25	70165876.19	60363228.12	58731733.78	63063504.03	43139411.05	48006600.94	32546325.04	35452682.41	38767877.65	38767877.65	44946431.93	60627830.06	96101277.11	61560245.53	57927369.25	112666756.44	75026611.6	49508186.59	47580448.12	45758314.57	50743757.13	53310666.69	55457226.09	50523813.52	58822857.19	49501703.55	88588110.45	42870376.45	47260738.32	17874758.25	20151846.55	32408380.58	32408380.58	32011179.18	62194424.05	53066433.13	71789096.44	93470511.75	134371993.34	84990714.24	38770262.22	45145849.9	44847274.71	72027806.82	43371216.34	52869196.3	62196547.31	45950623.78	42951970.53	58025513.74	37586135.23	38002743.45	15193146.83	18481948.96	22981290.88	22981290.88	24855226.48	58159097.39	68405384.73	60856060.32	59731967.81	73355205.18	46710443.94	28439918.28	17952155.35	49909852.44	88930186.34	49594291.32	50520425.27	42541902.62	52183941.02	76919655.02	90433774.02	54988755.59	41743348.59	16685488.95	17295918.83	14482971.54	14482971.54	28390495.45	488660639.05	40578332.83	16794729.26	18945452.8	53376085.73	34222181.32	16697459.17	13152806.73	17369188.05	14919059.29	17109236.94	13549682.63	14249820.74	12323965.24	14089736.43	14054840.26	12271565.99	9325279.93	7186601.85	9132029.25	16103152.16	16103152.16	16301665.83	35467936.74	73260920.15	51995827.4	51763487.76	109432024.9	80997022.48	39927548.79	38516620.31	40007280.15	41807697.51	51819699.31	54319977.49	51686192.34	85146627.25	67507253.63	125378942.56	50497464.97	64435293.45	26808005.9	25997508.34	33849152.73	33849152.73	29162026.77	72993712.39	45094965.64	37204072.65	33739780.75	74156415.64	44921818.83	28889516.36	29011675.17	24037915.06	25376949.09	31449018.44	68121940.85	68075806.04	158911262.47	43909160.78	129823229.87	52339002.58	41881634.03	22761422.12	21701723.77	25201522.4	25201522.4	62569367.01	53691320.17	61646429.88	50792901.2	54533300.27	42317332.19	45189043.93	45833735.73	47536949.83	43174647.64	48739846.4	55084500.26	64983888.7	85678827.14	79221315.13	41061274.36	53119531.6	50668092.68	53655886.99	43093729.55	49828698.05	53454633.63	53454633.63	65753458.32
CDKL1	6154621.93	6723689.19	6466978.57	6666513.03	6497513.57	6497961.0	6009962.48	6445453.07	6543059.48	6438405.18	8133129.93	7083488.92	5963986.41	6616303.21	7216744.04	10919890.8	6519906.81	6163583.43	5167973.15	5423940.7	4940961.61	4940961.61	4867705.78	6491701.6	6245212.58	6079997.55	5785744.92	5701423.2	5692962.6	5971017.56	5453896.33	5611215.77	5788222.38	5768925.49	5552786.55	5827217.09	5720041.14	7543992.1	9514595.57	6639677.49	5710145.65	5393707.92	5659560.29	5165900.51	5165900.51	5406630.3	5038849.37	4417895.83	5182494.46	5211080.44	4055212.57	3790629.29	3863692.35	3847097.89	3927777.73	3932640.52	3803003.41	3935456.61	3857806.31	4243639.4	6095028.18	52617057.53	5056663.11	4189677.18	3822201.81	3848393.3	4124338.42	4124338.42	5627093.92	19500641.73	5529351.23	4798890.15	5550594.08	5780420.68	4974450.39	4792565.67	5271621.21	4993348.21	4251215.6	3978078.38	3834488.15	3900524.77	3994171.37	4933746.67	6625887.4	4700901.55	4272203.45	3928543.26	4056313.68	4388853.56	4388853.56	4116763.45	6125146.14	9399054.68	5263178.59	5024071.25	8378646.85	6263901.9	4427653.69	3874956.71	5943394.16	7182473.94	5023693.79	5318283.49	4622091.9	6118157.85	9657142.57	8680975.71	6319225.45	6097710.16	4168768.9	4030227.68	4681988.11	4681988.11	4312891.39	12254054.5	7328455.48	9077559.27	5440425.53	8563693.13	6739673.25	4743414.59	4664322.08	4815663.58	5493567.34	5660501.61	6001311.93	5221093.34	6520520.08	7937194.32	8489384.12	5699350.94	5554323.63	4327178.96	4594871.31	5168824.34	5168824.34	4156115.38	4946659.86	4882082.82	5271470.37	6224482.1	6649008.22	6163771.32	5679001.47	5635061.92	5738861.77	5377212.52	5295914.74	5949485.69	5167779.71	7804502.22	9715987.81	12889076.29	6557827.38	6716185.72	5909363.49	5131875.78	5702245.81	5702245.81	4239342.6	6102569.73	5400733.0	5620219.53	6140617.49	5959391.97	5013640.48	5889657.18	5397480.32	5795003.29	5615529.27	5765202.68	6338934.09	5611738.93	7080541.7	8895657.31	10142171.8	6567239.16	6266807.3	4948686.4	4660041.59	5269947.95	5269947.95	4577433.8	6324172.66	6711922.86	5479476.96	6066469.71	9929788.37	7063308.4	5355841.74	5525001.18	6056982.8	6146658.45	5913049.61	5852164.36	7029102.61	6922276.24	8465316.9	9510449.12	6927663.56	6996569.55	5535298.32	4944727.74	5317265.87	5317265.87	4465215.19
CDKL2	378427.78	460575.56	450076.94	571193.92	424757.3	468440.02	434449.6	580812.13	580501.77	508234.13	555001.09	598231.52	539839.98	591389.44	701990.11	1050855.25	412869.79	419391.18	257640.32	286606.57	408901.48	408901.48	489098.72	417631.52	379302.29	429552.47	527635.37	410121.55	448496.74	441441.32	427905.23	431564.06	481859.52	388862.5	444422.53	417523.05	455312.59	800277.85	1491026.53	453466.45	359147.22	257806.48	314523.08	423991.3	423991.3	376167.1	381752.6	252435.69	348412.3	486637.55	247033.32	232548.93	208578.32	237536.25	211403.93	209025.71	205501.84	233116.92	218910.17	323966.3	569260.51	5672196.16	315395.01	215153.28	148495.44	159436.75	296727.25	296727.25	305446.56	1943036.99	379040.31	309440.57	549307.7	518923.26	393890.39	332936.16	353082.34	342935.74	275233.93	239790.6	330807.96	215674.74	225061.45	400382.3	684715.28	265579.93	206815.01	143999.41	166641.6	261861.01	261861.01	306832.37	430909.88	507294.16	453623.85	469337.1	512851.82	433507.12	259679.94	241921.91	451691.56	614166.24	380531.38	484003.23	308421.66	513072.99	1106365.94	904979.26	390281.63	378295.39	217463.13	189759.6	268383.42	268383.42	362716.35	1100199.38	581437.92	1528314.58	470405.94	593638.02	396400.29	261511.59	274700.74	310023.35	331369.02	458862.06	483777.55	412561.79	452954.04	298870.91	326186.9	273238.76	272839.44	226058.35	274661.59	448220.95	448220.95	321321.2	341941.68	372318.97	376064.66	593298.9	482025.96	452266.53	413902.85	443554.58	445870.97	365793.07	387323.1	466056.24	340117.95	751970.13	937561.92	983532.6	442066.44	472453.17	307464.34	276580.19	491037.19	491037.19	582070.36	532738.96	452731.71	465538.42	673613.16	413142.04	340065.64	389410.58	422348.62	498942.7	473462.92	536680.87	494880.01	456837.66	707577.57	552922.68	668956.38	502294.74	474366.64	344627.05	327387.71	403619.38	403619.38	680318.01	481627.04	467368.08	403858.24	578020.21	941821.79	548446.06	376890.23	491481.45	464916.68	495907.2	420976.71	440764.17	570059.29	593102.29	672544.81	664008.7	497946.64	562496.41	294993.88	313740.94	607401.93	607401.93	503155.81
CDKL5	981164.61	1334461.73	1211349.02	1561416.95	1054884.11	1001343.17	949692.57	1033838.55	1051260.42	1049927.84	1155936.52	1073037.91	1155532.05	1262543.52	1336228.64	1786681.02	922524.28	863913.94	600296.77	586059.2	758024.0	758024.0	641261.89	1166423.09	1098494.97	1092562.15	1395207.06	1141360.56	1035864.75	1033872.57	952476.74	992594.68	1055221.39	916365.29	893406.88	896227.4	981443.33	1546344.88	2005599.31	1093171.32	910742.49	661778.84	690345.05	830634.07	830634.07	689973.75	932222.34	799723.8	936958.7	1208305.72	745045.68	674172.18	661541.27	687445.83	634875.07	654036.18	602783.63	613967.28	633333.83	750696.91	1016240.05	9414724.75	809743.89	738804.84	506678.17	525252.77	561573.23	561573.23	562937.44	4871592.28	1014718.25	791193.09	971790.18	1047150.89	738062.14	684975.59	652337.05	781734.81	687849.75	637033.36	617801.52	661639.56	670584.01	934728.8	1001934.79	663325.65	550416.69	534875.74	519624.27	563084.29	563084.29	511464.38	1152706.24	1257813.47	1189479.91	1270181.48	1388101.14	1270769.68	915576.31	840735.12	1071768.66	1112936.14	809502.44	821880.89	1080298.59	947984.9	1544093.31	1538645.74	1141586.18	763043.55	806282.78	601146.42	587273.49	587273.49	548405.68	2521714.57	1627302.06	4351572.12	1230964.76	1544416.0	879295.15	673591.5	631001.76	609383.62	648454.33	635356.46	608072.95	681049.52	732921.2	929405.88	1149446.69	760083.96	639589.69	591725.04	569806.71	627004.79	627004.79	564279.77	777532.77	1044521.22	889749.75	1421487.64	997568.05	934986.59	844610.83	951913.46	949190.03	927904.94	1007134.67	1161920.75	923900.65	1473129.58	1978356.39	2761146.43	1007044.98	1031274.26	611110.06	624801.54	602005.18	602005.18	680956.51	1210132.05	1159283.52	1139128.34	1741355.88	1213191.5	955892.13	1134003.98	1030891.01	1009919.75	988007.69	1158094.6	1341654.05	960884.58	1104187.71	1595388.1	1927074.4	1044044.09	1009564.26	715375.96	639171.3	768873.98	768873.98	717410.92	1323793.81	1298057.25	1127220.45	1614659.12	4047497.81	1584475.25	969462.75	1111834.88	1123904.21	1141250.55	1243880.34	1198380.87	1415491.5	1440440.4	1513926.47	1838703.09	1103779.65	1222850.25	851651.52	720033.28	788905.94	788905.94	760199.22
CHAK1	6747936.1	9152537.77	9651180.69	10160604.45	9444766.29	8837237.9	7620431.38	8333195.66	7303819.43	7975988.7	8528079.59	8235873.47	7767176.12	9092492.35	9772330.41	9960736.39	6674069.61	7628148.21	5402990.84	5589625.66	9148237.17	9148237.17	9055761.45	8437330.08	7236947.03	8186091.51	7669244.2	12301255.54	8812225.73	7657745.14	8260788.29	8506482.44	9139195.81	9080111.65	7270185.11	8721532.04	7850093.72	9159688.31	9686309.7	6574114.18	6679343.87	6176911.98	6623296.73	8213707.35	8213707.35	6410897.16	9795771.52	6225884.98	6275706.41	7315229.57	9109619.07	7692507.03	8077731.37	8553059.4	9091247.14	9616397.77	8418892.62	6638531.13	8573319.74	7234433.72	7064392.9	8318319.6	5817027.85	7594990.27	5196028.65	4700778.38	7613753.26	7613753.26	6712664.24	11792672.39	8519858.55	7828635.23	7439952.23	8617163.74	7122659.57	5112719.39	4592652.02	7734144.56	11282301.71	9087428.57	5829507.56	21153167.48	6408138.0	5943526.52	7172281.87	5556782.26	4924164.77	3720699.05	4521185.35	6083255.55	6083255.55	5561821.37	9136515.91	2846293.88	6692016.31	5740925.23	10501653.36	9472320.05	6089847.62	5561115.29	8952694.88	7398034.46	5856068.86	7560435.78	4196786.55	10458850.0	25187127.61	17767906.09	7453802.68	7826997.73	5320756.84	4263705.38	6154651.78	6154651.78	6213188.86	1352385.91	2943750.91	4842063.75	4911691.39	9489155.58	8929591.86	10634475.15	11567060.64	9322190.55	6986206.63	7481662.73	8283243.53	5928025.77	7643928.29	13851768.06	15119691.67	8754428.04	3399974.43	1790781.57	4473353.09	4161395.32	4161395.32	7260979.1	11624139.17	4201721.22	10808790.68	5057019.77	12944540.92	8189801.04	4399672.68	5561127.18	6704119.95	10605667.31	14992214.78	11883682.44	10406747.98	8107412.6	7220466.56	12866353.69	6114664.69	2284960.12	628552.51	646251.62	2974464.36	2974464.36	3819635.1	5284555.61	6166602.19	17698959.99	7230992.2	11545978.27	7021069.18	5421014.28	4019516.45	5742083.45	5966222.4	8568711.71	11289706.91	6718981.85	8969854.48	19168607.3	20721538.21	5952863.39	7531656.7	2307395.35	1977726.29	3587284.45	3587284.45	7192730.37	7578043.21	8487595.96	7003565.61	7927393.66	8348654.08	7115635.47	6331193.21	6981718.97	6113731.23	7687140.15	5967384.74	6935241.42	9008832.77	9088570.42	14551564.93	13837240.19	8125718.68	7065878.33	3616524.48	4224270.68	6849766.34	6849766.34	4860823.46
